,x_top_left,y_top_left,x_top_right,y_top_right,x_bot_left,y_bot_left,x_bot_right,y_bot_right,custom_center_x,custom_center_y,left_height,top_width,right_height,bot_width,dist_to_top_left,dist_to_bot_left,dist_to_top_right,dist_to_bot_right,smoothed_y_top_left,smoothed_y_top_right,smoothed_y_bot_left,smoothed_y_bot_right,cos_alpha,angle,smoothed_center_x,smoothed_center_y
384,808.08636,194.76752,979.59808,204.66556,806.57974,220.86455,978.09145,230.76259,893.0889,212.76505,26.17559,171.9247,26.17559,171.9247,86.88696,86.8875,86.88751,86.88696,194.63345,204.75131,220.77711,230.7875,-2e-05,90.0012,893.98855,212.76421
385,788.45401,195.30239,958.57148,205.12629,786.95096,221.32725,957.06842,231.15114,872.76122,213.22677,26.0416,170.75548,26.0416,170.75547,86.19158,86.19175,86.19176,86.19158,195.30553,205.28873,221.31399,231.18886,-1e-05,90.00038,874.15234,213.30136
386,768.64641,195.89616,937.72569,205.64244,767.15314,221.79841,936.23241,231.54469,852.43941,213.72042,25.90465,169.61221,25.90465,169.61221,85.6678,85.66797,85.66798,85.6678,195.99095,205.84351,221.86013,231.60008,-1e-05,90.00039,853.92081,213.85182
387,748.4654,196.56753,916.65269,206.14061,746.99999,222.31143,915.18726,231.88451,831.82633,214.22602,25.76885,168.50599,25.76885,168.50599,85.21072,85.21081,85.21082,85.21072,196.68544,206.41179,222.41029,232.0247,-0.0,90.00021,833.41353,214.41104
388,728.43087,197.24109,895.62978,206.7631,726.97491,222.80972,894.17382,232.33172,811.30234,214.78641,25.6292,167.41706,25.6292,167.41706,84.70844,84.70826,84.70827,84.70844,197.38584,206.98834,222.96388,232.45704,1e-05,89.99959,812.74076,214.97611
389,708.30721,197.93823,874.45956,207.40788,706.85492,223.41689,873.00728,232.88654,790.65724,215.41238,25.4884,166.33701,25.4884,166.33701,84.18358,84.18373,84.18374,84.18358,198.08789,207.5667,223.51892,232.8992,-1e-05,90.00036,791.92779,215.54281
390,688.20215,198.63516,853.31028,208.04607,686.75847,223.96325,851.8666,233.37416,770.03438,216.00466,25.34524,165.27341,25.34524,165.27341,83.65532,83.65534,83.65533,83.65532,198.78296,208.14127,224.06859,233.34457,-0.0,90.00004,771.06668,216.10493
391,668.41179,199.31306,832.51301,208.66084,666.97685,224.50434,831.07808,233.85212,749.74493,216.58259,25.1999,164.22799,25.1999,164.22799,83.14636,83.14631,83.14631,83.14636,199.46633,208.70668,224.61026,233.7988,0.0,89.99989,750.26854,216.65847
392,648.55001,200.06462,811.63498,209.29492,647.13451,225.07291,810.21947,234.30322,729.38474,217.18392,25.05019,163.20314,25.05019,163.20314,82.62762,82.62771,82.6277,82.62762,200.14168,209.2499,225.14613,234.26138,-0.0,90.00019,729.5443,217.19802
393,629.01132,200.77892,791.03883,209.89434,627.61285,225.62876,789.64036,234.74417,709.32584,217.76155,24.89854,162.18873,24.89854,162.18873,82.09039,82.09083,82.09083,82.09039,200.79898,209.77582,225.66774,234.7155,-2e-05,90.00103,708.98946,217.72178
394,609.71293,201.50572,770.75044,210.43502,608.3429,226.20597,769.38041,235.13528,689.54667,218.3205,24.74693,161.18395,24.74693,161.18395,81.58531,81.58574,81.58574,81.58531,201.44153,210.27746,226.17465,235.15226,-2e-05,90.001,688.69738,218.22606
395,590.48127,202.24671,750.44781,210.96575,589.14378,226.78158,749.11032,235.50061,669.79579,218.87366,24.59894,160.19118,24.59894,160.19118,81.03857,81.03877,81.03877,81.03857,202.06686,210.75334,226.66505,235.55826,-1e-05,90.00048,668.68464,218.7092
396,571.82699,202.91064,730.77448,211.51739,570.50534,227.32011,729.45283,235.92686,650.63991,219.41875,24.45874,159.16603,24.45874,159.16603,80.52325,80.52316,80.52317,80.52325,202.6756,211.20516,227.13943,235.93095,0.0,89.99979,649.06139,219.1723
397,553.49037,203.60868,711.33921,212.03318,552.19592,227.86976,710.04476,236.29427,631.76756,219.95147,24.32592,158.15904,24.32592,158.15904,79.96503,79.96465,79.96465,79.96503,203.26482,211.63614,227.59303,236.26815,2e-05,89.99909,629.93179,219.61458
398,535.35233,204.16552,692.25794,212.50365,534.06944,228.32172,690.97505,236.65985,613.16369,220.41269,24.19572,157.20139,24.19572,157.20138,79.48948,79.4887,79.4887,79.48948,203.83187,212.05501,228.02157,236.54883,3e-05,89.99811,611.34036,220.03829
399,517.97462,204.69523,674.06879,212.93393,516.7083,228.70617,672.80247,236.94488,595.38855,220.82005,24.06688,156.28769,24.06689,156.28768,79.07544,79.07447,79.07447,79.07544,204.37768,212.45863,228.42773,236.79177,4e-05,89.99765,593.41592,220.44318
400,500.96103,205.07925,656.19226,213.32391,499.69288,228.96734,654.92411,237.21201,577.94257,221.14563,23.94247,155.42891,23.94247,155.4289,78.64023,78.63964,78.63964,78.64023,204.90703,212.84785,228.80613,236.99719,3e-05,89.99856,576.25347,220.83253
401,484.144,205.56016,638.57694,213.5732,482.91102,229.32795,637.34395,237.341,560.74397,221.45058,23.82073,154.63112,23.82073,154.63112,78.23082,78.23057,78.23058,78.23082,205.42108,213.22509,229.16889,237.16758,1e-05,89.99939,559.94197,221.20866
402,468.55943,206.03697,622.16675,213.7328,467.37355,229.70723,620.98086,237.40306,544.77014,221.72001,23.70201,153.90633,23.70201,153.90632,77.80765,77.80764,77.80765,77.80765,205.90847,213.59347,229.51921,237.31552,0.0,89.99997,544.60971,221.56913
403,453.45291,206.4666,606.37973,213.89249,452.30728,230.05022,605.23409,237.47612,529.3435,221.97136,23.57995,153.26016,23.57995,153.26015,77.45824,77.45868,77.45869,77.45824,206.37139,213.95225,229.86249,237.44628,-2e-05,90.00108,530.39327,221.91489
404,439.01895,206.83998,591.25671,214.03624,437.90775,230.32554,590.1455,237.5218,514.58222,222.18089,23.45461,152.69213,23.45461,152.69212,77.10481,77.10584,77.10585,77.10481,206.814,214.30423,230.19824,237.57404,-4e-05,90.00254,517.37524,222.24854
405,426.56035,207.14478,578.09715,214.27383,425.46081,230.49374,576.99761,237.6228,501.77898,222.38379,23.32732,152.19451,23.32732,152.19451,76.74679,76.74786,76.74787,76.74679,207.23476,214.6541,230.52089,237.70594,-5e-05,90.00266,505.6526,222.57116
406,415.19876,207.49806,566.58643,214.50635,414.12287,230.72296,565.51054,237.73125,490.35465,222.61466,23.18206,151.81993,23.19812,151.81744,76.66107,76.66178,76.66178,76.66107,207.63955,215.00179,230.8376,237.84932,-3e-05,90.00177,495.28836,222.88805
407,404.89987,207.89815,555.96004,214.73638,403.85552,230.96842,554.91569,237.80665,479.90778,222.8524,23.04074,151.48091,23.07099,151.476,76.48409,76.48409,76.48409,76.48409,208.03283,215.34981,231.14794,238.0206,-0.0,90.00001,486.31948,223.20121
408,397.0363,208.18531,547.64028,215.15872,395.97427,231.12008,546.57825,238.09349,471.80727,223.1394,22.91956,151.09623,22.94505,151.09032,76.25171,76.25179,76.25179,76.25171,208.40907,215.69816,231.44772,238.22653,-0.0,90.0002,478.77608,223.50861
409,390.59854,208.6205,540.91689,215.45654,389.56354,231.40332,539.88188,238.23936,465.24021,223.42993,22.82688,150.62372,22.82694,150.62056,76.09664,76.09556,76.09556,76.09664,208.78124,216.04012,231.74235,238.46932,5e-05,89.99727,472.64117,223.81351
410,385.56313,209.00805,535.50416,215.89883,384.52192,231.683,534.46295,238.57378,460.01304,223.79092,22.7517,150.04008,22.71357,150.04297,75.90337,75.90253,75.90253,75.90337,209.15288,216.38232,232.03139,238.75063,4e-05,89.99784,467.90802,224.12086
411,382.97144,209.38047,532.50616,216.42518,381.90911,231.92372,531.44384,238.96843,457.20764,224.17445,22.68785,149.31357,22.6065,149.32543,75.69594,75.69623,75.69623,75.69594,209.52541,216.71484,232.31408,239.06636,-1e-05,90.00075,464.54022,224.4272
412,381.73495,209.79975,530.74171,216.91845,380.66347,232.21865,529.67023,239.33735,455.70259,224.56855,22.62856,148.43014,22.50704,148.45238,75.42764,75.42807,75.42807,75.42764,209.90189,217.03349,232.5901,239.40035,-2e-05,90.00111,462.46124,224.73123
413,381.84762,210.15344,530.14817,217.43254,380.74916,232.48854,529.04971,239.76764,455.44866,224.96054,22.56987,147.37511,22.41636,147.40759,75.07572,75.07788,75.07788,75.07572,210.27847,217.34895,232.85217,239.74133,-0.0001,90.00558,461.6127,225.0374
414,384.09819,210.55655,531.45512,217.86495,382.9903,232.84104,530.34723,240.14944,457.22271,225.35299,22.51272,146.16915,22.33772,146.21529,74.6065,74.60912,74.60912,74.6065,210.65982,217.65229,233.1032,240.08143,-0.00012,90.0068,461.90007,225.34287
