,x_top_left,y_top_left,x_top_right,y_top_right,x_bot_left,y_bot_left,x_bot_right,y_bot_right
69,418.32568359375,198.86685180664062,576.3138427734375,207.255615234375,416.9364013671875,225.03201293945312,574.924560546875,233.4207763671875
70,421.23565673828125,198.6649932861328,578.34765625,207.2036895751953,419.83148193359375,224.50172424316406,576.9434814453125,233.04042053222656
71,426.2279052734375,198.53201293945312,585.1917114257812,206.64242553710938,424.915771484375,224.25079345703125,583.8795776367188,232.3612060546875
72,430.566650390625,197.51708984375,590.2891845703125,206.15072631835938,429.1595153808594,223.54913330078125,588.8820190429688,232.18276977539062
73,433.35516357421875,196.9620819091797,593.1551513671875,206.36207580566406,431.8172607421875,223.10691833496094,591.6172485351562,232.5069122314453
74,438.283203125,197.2434539794922,598.1260986328125,205.1045684814453,436.9979248046875,223.37696838378906,596.8408203125,231.2380828857422
75,441.72100830078125,196.30111694335938,606.2651977539062,204.96133422851562,440.33978271484375,222.54421997070312,604.8839721679688,231.20443725585938
76,443.71466064453125,195.82948303222656,606.375244140625,204.65602111816406,442.2794189453125,222.2787322998047,604.9400024414062,231.1052703857422
77,447.4683837890625,195.69984436035156,610.2139282226562,203.8956756591797,446.13128662109375,222.25120544433594,608.8768310546875,230.44703674316406
78,450.43994140625,195.07998657226562,614.2677001953125,204.1815185546875,448.9753723144531,221.44305419921875,612.8031005859375,230.54458618164062
79,451.699462890625,194.64337158203125,615.307373046875,203.90420532226562,450.187744140625,221.35025024414062,613.795654296875,230.611083984375
80,454.2471923828125,194.46804809570312,619.120361328125,203.46112060546875,452.8045959472656,220.9166259765625,617.677734375,229.90969848632812
81,456.17156982421875,194.5968780517578,623.0582275390625,203.01133728027344,454.844970703125,220.9081268310547,621.7316284179688,229.3225860595703
82,456.720703125,194.5860595703125,625.0,203.00003051757812,455.4089660644531,220.82046508789062,623.688232421875,229.23443603515625
83,457.18707275390625,194.25938415527344,627.012451171875,202.7506561279297,455.8578796386719,220.84291076660156,625.6832885742188,229.3341827392578
84,456.199462890625,194.00997924804688,627.1221923828125,202.55612182617188,454.8603210449219,220.79302978515625,625.7830810546875,229.33917236328125
85,455.18353271484375,193.6044921875,628.1376342773438,202.953369140625,453.72979736328125,220.49887084960938,626.6838989257812,229.84774780273438
86,455.10186767578125,194.13284301757812,629.1114501953125,203.624267578125,453.6592102050781,220.5814208984375,627.6687622070312,230.07284545898438
87,454.2677001953125,194.18154907226562,629.17236328125,203.89846801757812,452.7877502441406,220.82156372070312,627.6923828125,230.53848266601562
88,454.193359375,194.3259735107422,630.0220336914062,203.5801239013672,452.78729248046875,221.0414276123047,628.615966796875,230.2955780029297
89,454.199951171875,194.3999786376953,631.098388671875,204.22767639160156,452.7015075683594,221.37229919433594,629.5999755859375,231.1999969482422
90,452.2154541015625,194.90606689453125,630.87841796875,204.30938720703125,450.7900085449219,221.98895263671875,629.4530029296875,231.39227294921875
91,451.08514404296875,195.32632446289062,630.1982421875,204.43377685546875,449.7183532714844,222.20599365234375,628.8314819335938,231.31344604492188
92,449.149169921875,195.16574096679688,629.28173828125,204.64639282226562,447.7126770019531,222.45855712890625,627.84521484375,231.939208984375
93,447.16717529296875,195.72280883789062,629.0203857421875,205.00103759765625,445.7713928222656,223.08016967773438,627.6245727539062,232.3583984375
94,446.18011474609375,195.46836853027344,627.2904052734375,204.7086944580078,444.7739562988281,223.02928161621094,625.8842163085938,232.2696075439453
95,444.21527099609375,195.83871459960938,627.019287109375,205.29409790039062,442.8144226074219,222.92141723632812,625.6184692382812,232.37680053710938
96,442.2537841796875,196.08404541015625,625.1600341796875,205.52438354492188,440.8536071777344,223.2117919921875,623.7598876953125,232.65213012695312
97,441.21820068359375,196.54212951660156,623.5645141601562,205.4681854248047,439.87884521484375,223.9031524658203,622.2251586914062,232.82920837402344
